price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,yr_built
940000,3,1.5,2140,3600,2,1900,1925
305000,5,2.25,2660,8400,1.5,2660,1961
461000,3,3.25,2770,6278,2,1980,2006
215000,2,2.25,1610,2040,2,1610,1979
335000,2,1.75,1030,1066,2,765,2006
243500,4,2.5,1980,7403,2,1980,1988
153000,3,1,1200,10500,1,1200,1962
430000,3,1.5,1580,5000,1,1290,1939
700000,3,1.5,1580,5000,1,1290,1939
905000,4,2.5,3300,10250,1,2390,1946
247500,3,1.75,1960,15681,1,1960,1967
199000,4,1.5,1160,6400,1,1160,1975
314000,3,1.75,1810,41800,1,1210,1980
437500,3,2.5,2320,36847,2,2320,1992
850830,3,2.5,2070,13241,1.5,1270,1910
555000,3,2,1980,3478,1.5,1440,1929
699950,3,2.25,2190,107593,2,2190,1983
290000,3,1,1210,33919,1,1210,1954
375000,3,2.5,2340,10005,1,1460,1978
460000,3,1,1670,4005,1.5,1170,1939
188500,2,1.75,1240,2493,1,1240,1985
680000,4,2.5,3140,28037,2,3140,1991
470000,5,1.75,2030,12342,2,2030,1942
597750,4,2.5,2310,9624,2,2310,1984
570000,3,1.75,1260,3328,1,700,1905
272500,3,1.75,1540,12600,1,1160,1980
329950,3,1.75,2080,5969,1,1080,1971
480000,4,2.5,3230,16171,2,2520,2001
740500,3,3.5,4380,6350,2,2780,1900
518500,3,3.5,1590,1102,3,1590,2010
205425,2,1,880,6780,1,880,1945
171800,4,2,1570,9600,1,1570,1950
535000,4,1,1610,2982,1.5,1610,1925
660000,3,2.5,2400,6474,1,1560,1964
391500,3,2,1450,9132,1,1450,1987
395000,2,1,770,6000,1,770,1953
445000,4,1.75,2100,4400,1.5,1720,1924
770000,3,2.25,2910,10204,2,2910,1990
445000,3,2.25,2100,8201,1,1620,1967
260000,4,2.25,2160,8811,1,1360,1978
822500,5,3.5,2320,4960,2,1720,1926
430000,4,2.5,2070,4310,2,2070,2004
212000,3,1.75,1060,7875,1,1060,1986
660500,4,2.25,2010,9603,1,1440,1986
784000,3,3.5,3950,111078,1.5,2460,1989
453246,3,2.5,2010,2287,2,1390,2014
675000,4,3.5,2140,2278,3,2140,2005
199000,3,1.75,1320,17390,1,1320,1956
220000,4,1.75,2020,7840,1,1010,1968
452000,4,2.25,2590,10002,1,1340,1968
382500,2,1,1190,4440,1,1190,1981
519950,3,2.25,1170,1249,3,1170,2014
665000,2,1,1110,3200,1,1110,1925
527700,5,2.5,2820,9375,1,1550,1968
205000,3,1,1610,8579,1,1010,1962
420000,3,1,1060,8097,1,940,1923
500000,4,2.25,2030,8517,1,1380,1961
921500,4,2.5,3670,315374,2,3670,1994
890000,4,1,2550,4000,2,2370,1905
430000,2,2.5,2420,60984,2,2420,2007
258000,5,2,2260,12500,1,1130,1960
511000,3,1,1430,3455,1,980,1947
532170,3,2,1360,3090,2,1360,1990
560000,3,1,1110,5000,1.5,1110,1947
282950,3,1,1250,8200,1,1250,1954
350000,1,1,700,5100,1,700,1942
215000,3,1,1180,7669,1,1180,1967
650000,5,3.5,3960,25245,2,2500,1996
320000,4,2.75,2640,7500,1,1620,1967
247000,3,2,1270,7198,1.5,1270,1916
320000,4,1.75,1760,11180,1,1760,1968
255000,5,2.25,2060,8632,1,1030,1962
438000,3,1.75,1780,9660,1,1780,1962
900000,3,2.5,3400,16603,2,3400,2000
441000,3,2.75,1910,7280,1,1160,1979
420000,3,2,2020,38332,1,1010,1975
370000,3,1.75,1580,7000,1,1180,1976
269950,2,1.75,1340,7250,1,700,1949
807100,4,2.5,2680,4499,2,2680,1999
653000,3,2.5,2680,9750,1,1610,1979
371500,3,2,1370,8336,1,1370,1964
284000,3,1.75,1560,21000,1,1560,1954
272000,3,1.75,2160,7140,1,1670,1978
313000,3,1.5,1340,7912,1.5,1340,1955
917500,4,2.5,3880,35003,2,2570,1984
673000,4,2.25,2590,8190,2,2590,1980
425000,3,2.5,1120,1100,2,820,2008
399950,5,2.75,1970,5400,1,1320,1986
385000,3,1,1220,4800,1,1220,1901
269950,3,1.5,1950,7560,1,1320,1975
330000,2,1,1350,8220,1,1060,1949
260000,3,2.5,1670,5797,2,1670,1988
470000,4,3,2380,5125,1.5,1680,1925
589000,4,3,2440,9600,2,2440,1961
163500,2,1.5,1050,3419,2,1050,1996
835000,4,2.75,3130,13412,2,2140,1993
269000,4,1.75,1490,10000,1,1100,1969
560000,3,2.5,1900,8744,2,1900,1987
615000,4,1,1330,2400,1.5,1330,1901
585188,3,2.25,2230,10026,1,1430,1975
305000,3,1.75,1650,9480,1,1220,1977
166950,3,1,1190,8820,1,1190,1959
799000,3,2.5,2140,9897,1,2140,1959
400000,3,2.5,2180,7508,1,1420,1962
230000,3,1,1060,10228,1,1060,1948
256883,3,2.5,1690,5025,2,1690,2003
423000,4,2,1970,6480,1.5,1130,1920
465000,3,2.5,2150,4084,2,2150,2007
440000,3,2.5,1910,66211,2,1910,1997
385000,3,1.75,1350,155073,1,1350,1969
210000,3,1,860,11725,1,860,1943
297000,3,2.5,1940,14952,2,1940,1994
470000,3,1,1010,5000,1,1010,1952
226500,3,1.5,1300,7370,1,900,1976
274250,3,1,910,8450,1,910,1962
840000,4,1.75,2480,11010,1,1630,1966
677900,3,2.5,2440,4587,2,2440,2010
425000,3,1,1010,5864,1,1010,1915
180250,2,0.75,900,9600,1,900,1941
464000,6,3,2300,3404,2,1600,1920
320000,4,2.25,1550,7579,2,1550,1993
625504,3,2.25,1270,1566,2,1060,2014
592500,4,2.5,2240,12032,1,2240,1983
465000,3,2.5,2714,17936,2,2714,2005
477000,4,2.75,1720,6270,2,1720,1978
280000,2,1,850,16400,1,850,1923
445838,3,2.5,2250,5692,2,2250,2000
467000,2,1.5,1320,10800,1,1320,1947
686000,4,2.5,2760,6440,2,2760,1999
279950,3,2,1750,9750,1,1350,1961
527000,4,2.25,2330,19436,2,2330,1987
325000,3,2.25,2220,16020,1,1780,1966
328000,3,2.25,2020,8379,2,2020,1994
390000,3,2.25,1250,7500,1,1250,1942
479950,2,2,1510,6516,1,1510,2005
264950,4,2.25,1720,9753,1,1120,1978
235000,3,1,1430,15246,1,980,1961
516500,3,2.5,1480,4729,2,1480,2004
655000,2,1.75,1450,15798,2,1230,1915
500000,4,2.75,2280,15347,1,2280,1960
315000,6,2.75,2940,7350,1,1780,1978
213000,2,1,1000,10200,1,1000,1961
475000,3,1.5,2480,5280,1.5,1620,1947
416000,3,2,2220,94300,1,1640,1976
410000,4,1,1970,4740,1.5,1670,1904
800000,3,3.5,3830,221284,2,3530,1993
472000,6,2.5,4410,14034,1,2350,1965
225000,3,1.75,1430,8505,1,1430,1968
210000,2,1,830,6000,1,830,1940
455000,2,1,1430,5000,1.5,1430,1925
225000,3,1,1300,8316,1,1300,1954
480000,2,1,1030,3060,1,790,1918
363000,3,2.5,2740,11872,2,2740,1990
181000,2,1.5,720,5120,1,720,1954
250000,4,2,2010,7312,1,2010,1976
481000,3,1.75,1560,3000,1,770,1918
260000,3,2,1810,7209,1,1240,1978
455000,4,2.5,3360,7685,2,3360,2001
415000,3,2.25,1510,36224,2,1510,1991
349500,3,1,1400,3538,1,800,1953
245000,3,2.5,1730,7442,2,1730,1987
592500,2,2,1420,9191,1.5,1420,1928
385000,4,1.75,2360,7620,1,1180,1955
315000,3,1.75,1580,11455,1,1200,1974
255000,3,1,1230,10170,1,1230,1979
693000,4,2.5,2460,4425,2,2460,2006
780000,3,1,1660,4400,1.5,1460,1911
237000,3,1.75,1270,8470,1,1270,1960
525000,3,2.25,2100,40510,2,1320,1979
425000,2,1,770,5040,1,770,1930
369900,1,0.75,760,10079,1,760,1936
290000,4,2.5,1700,7280,2,1700,1988
285000,3,1,1120,10701,1,1120,1954
415000,2,1,1070,4500,1,1070,1937
272500,3,2.5,2070,9900,1,1420,1979
436000,2,1,1040,7538,1,1040,1939
210000,3,1,1700,11390,1,1700,1967
236000,3,1,1300,5898,1,1300,1961
331000,3,1.75,1080,1306,1,580,1954
365000,3,2.5,2653,4510,2,2653,2006
450000,3,2,2290,16258,1,2290,1960
770000,4,2.75,3820,26300,2,2850,2014
455000,4,2.5,2210,49375,1,2210,1997
405000,3,1.75,2390,6000,1,1240,1908
304900,4,1.75,2600,11325,1,1610,1969
170000,2,1,860,5265,1,860,1931
780000,4,2.5,3500,7048,2,3500,2005
330000,3,3,2420,13959,1,1740,1988
370000,4,2.5,2720,8666,2,2720,1992
467000,5,2.25,2500,13500,1,1850,1979
405000,3,1.75,1670,6720,1,1140,1980
675000,5,2.25,2900,10300,1,1450,1985
500000,2,1,1640,14100,1,1140,1954
389999,4,2.5,1890,15770,2,1890,1968
630000,4,1.75,2950,9025,1,1780,1975
360000,4,2.5,2160,9528,2,2160,1992
580000,4,3,3280,11060,2,2270,1986
550000,3,2,1970,4166,2,1270,1929
879000,4,2.5,3360,22111,2,3360,1994
265000,3,2,1320,8959,1,1320,1993
446500,3,2.5,2650,7286,2,2650,1990
404000,3,1.5,2030,8880,1,1330,1963
267500,3,1.75,1590,11914,1,1090,1957
335000,3,2.5,2440,7632,2,2440,1998
576000,3,2.5,1940,9000,1,970,1948
208633,3,2.5,2040,3810,2,2040,2006
315000,3,2.25,2200,8750,1,1120,1964
725000,3,1.75,1920,3300,1,960,1913
550000,4,2.75,1800,7750,1,1400,1965
610750,4,2.25,2180,7297,2,2180,1984
550700,2,1,1010,5000,1.5,1010,1908
665000,4,2.75,3320,10574,2,2220,1960
834000,4,2.5,2370,4000,1.5,1980,1928
201000,5,1.75,1660,78408,1.5,1660,1915
305000,4,2.25,1950,7700,1,1350,1979
487000,3,2,2590,14052,1,1720,1948
390000,3,2.5,1930,64904,1,1930,1988
548000,2,1,1470,3864,1,1170,1916
268750,4,1,800,8775,1,800,1943
819900,5,2.75,3150,7119,2,3150,2013
520000,3,2.25,2030,16200,2,2030,1984
230000,3,2,1450,11204,1,1450,2003
240000,3,1.75,1510,10248,1,1510,1969
232000,2,1,1240,12092,1,960,1922
240500,2,1,1240,12092,1,960,1922
274975,3,2.5,3030,45004,2,3030,1987
740000,4,2,2050,4400,1.5,2050,1922
186375,3,1,1000,7636,1,1000,1952
790000,3,2.25,2370,10289,1,1590,1977
880000,4,3.5,2800,6750,2,1890,1951
279000,6,1.75,2240,11180,2,2240,1955
295000,3,2,1810,10530,1,1810,1991
640000,2,1,1070,5000,1,1070,1924
940000,4,2,2490,9525,2,2490,1968
260000,4,2.5,1960,5238,2,1960,2003
559900,3,2.75,2930,5569,1,1860,2004
791500,4,2,1510,3500,1.5,1510,1911
265000,3,1.75,1420,8250,1,1420,1954
245000,3,1.75,1740,11547,1,1740,1954
485000,4,1.75,2560,43995,2,2560,1962
684000,4,3.5,3040,8414,2,2420,2010
425000,3,1.75,2500,6840,1,1300,1957
309600,4,1.75,1275,20000,1,1275,1991
552250,4,2.5,2580,5823,2,2580,2002
165000,4,1,1000,7134,1,1000,1943
239900,4,1,1000,7134,1,1000,1943
320000,2,1,1070,32633,1,1070,1930
206600,3,2,1390,13464,1,1390,1987
387000,4,1.75,2500,7690,1,1250,1973
299000,1,0.75,560,12120,1,560,1967
855000,4,2.75,2270,10460,2,2270,1965
315000,3,1,1900,14400,1,1300,1954
437500,2,1,990,3120,1,790,1907
252000,4,1.5,1550,19800,1,1050,1969
375000,4,1.75,2200,7475,1,1100,1955
300000,4,2.5,1910,4862,2,1910,2005
420000,4,1,1750,9600,1.5,1750,1954
900000,3,1,1330,77972,1,1330,1928
679900,3,2.5,2440,5750,2,1980,2000
463000,3,2.5,1640,29970,2,1640,1992
380000,5,2.5,2760,11340,2,2760,1978
329500,4,2.5,1820,7912,2,1820,1994
604950,3,2.5,2110,5608,1,1340,2013
795000,5,2.5,3040,9570,1,1640,1966
465000,3,2,1840,40438,2,1840,1994
673000,4,2.5,2990,10400,2,2990,2002
810000,4,2.5,3520,15420,2,3520,1991
785000,4,2.75,2440,69415,1,1910,1989
338000,4,3,2090,7500,1,1370,1986
280000,3,2.25,1430,7222,2,1430,1993
315000,4,2.25,2180,10754,1,1100,1954
530000,4,2.25,2180,10754,1,1100,1954
380000,5,3,3450,9914,2,3450,2004
297000,3,2.25,1450,7562,2,1450,1994
730000,4,2.5,3230,7331,2,3230,2004
450000,3,1.75,1640,13500,1,1110,1940
275000,3,3,1590,7750,1,1060,1997
595000,4,2,2020,2849,2,2020,1960
435000,3,1.5,1300,3348,1.5,1300,1904
270000,2,1.5,1380,209959,1,1380,1954
950000,3,3,4040,14338,2,3030,1986
389000,4,2.25,2130,5337,2,2130,2001
560000,4,2.25,2550,7800,1,1580,1968
799000,4,2.25,2510,11585,2,2510,1969
365500,3,2,1410,9600,1,1410,1983
252350,3,2,1650,7352,1,1160,1979
403950,4,2.5,2120,13780,2,2120,1993
385000,4,1.5,2040,10726,1,1380,1954
345000,4,1,1550,7620,1.5,1550,1957
490000,3,2.75,1980,3128,2,1980,1979
330000,3,2.5,1600,26977,2,1600,2005
927000,4,2.75,3300,12090,2,3300,1953
1.12E+06,4,2.5,3840,16619,2,3840,1983
330000,2,1,1220,10000,1,1220,1950
530000,5,2.25,2720,8800,1,1500,1958
365000,4,2,1940,25600,1,1940,1962
378750,3,2.5,2160,3000,1.5,1260,1909
269900,4,1.75,1530,8750,1.5,1530,1968
557000,3,3.5,1710,2096,2,1290,2008
360000,4,1.75,3730,16980,1,2150,1974
352000,2,1,940,5000,1,940,1937
437000,3,2.5,1750,22357,2,1750,1994
322500,4,2.5,1820,6753,2,1820,1994
650000,3,3.25,1510,2000,2,1330,2001
450000,3,2,1290,1213,3,1290,2001
278500,3,2,1570,5250,1,1570,1998
364950,4,2.5,1930,6957,2,1930,1995
840000,4,3.5,2840,40139,1,2840,1986
268000,3,2.5,1550,8134,2,1550,1991
517534,2,1,833,143947,1,833,2006
632925,3,2.5,2990,32239,2,2990,1978
577500,3,2.5,2000,7251,2,2000,1995
339000,4,1.5,2390,7480,1.5,2390,1920
570000,3,1.75,2910,37461,1,1530,1967
563500,4,1.75,2085,174240,1,1610,1964
423000,4,2.25,2200,9351,1,1290,1962
355000,3,2.25,1860,5028,2,1860,2012
1.55E+06,5,4.25,6070,171626,2,6070,1999
482000,2,1,950,3960,1,950,1941
625000,3,1.75,1600,9135,1,1600,1955
538000,3,2.5,2250,11632,2,2250,1988
380000,3,2.5,2280,10255,2,2280,1985
375000,2,1,940,5120,1,940,1909
245000,3,2.5,1530,8500,1,1030,1996
310000,5,1.75,2190,27260,1,2190,1947
1.30E+06,3,2,2350,15021,1,1770,1976
397000,4,2,1440,7680,1,1200,1971
365000,3,2.5,2200,4052,2,2200,2005
328500,4,3,2290,8250,2,2290,1990
988000,4,3,4040,19700,2,4040,1987
1.00E+06,4,2.5,2610,3277,1.5,1920,1922
237000,3,2.5,1490,2138,2,1490,2005
525000,4,2.5,2450,5280,2,2450,2003
749000,4,2.5,1710,9627,1,1440,1976
722500,5,2.5,4870,11800,2,3470,1983
843000,3,2.5,3130,8750,2,3130,1991
438000,2,2,1270,1372,3,1270,2000
578000,3,1.75,2120,10875,1,1540,1977
227950,3,1.5,1670,8230,1,1670,1954
196000,3,2.25,2070,11576,2,2070,1974
641000,2,1,1420,5332,1,1070,1953
350000,3,1.5,1250,219978,1,1250,1980
205000,3,1,940,7980,1,940,1960
400000,3,1.75,1920,9102,1,1920,1968
1.03E+06,3,2.5,3545,9816,1,2610,2005
505000,3,2,1260,5460,1,1260,1972
475000,5,2.5,2340,7200,1,1300,1975
520000,3,2.25,2590,9263,1,1440,1977
1.45E+06,3,4.5,3970,24920,2,3260,1977
333500,3,1.75,1220,9732,1,1220,1965
232000,3,1,1400,10403,1,1400,1976
691100,3,2.75,2360,16117,1,1710,1983
811000,3,1.75,1870,9897,1,1870,1960
551000,3,2.5,2830,5802,2,2830,2001
496500,3,2.5,2260,3640,2,2260,1994
705000,3,3,1970,20978,2,1770,1980
578000,4,2.5,3140,9225,1,1770,1966
255000,3,1.75,1240,8659,1,1240,1986
1.05E+06,4,3.5,3450,7832,2,3450,2007
348000,3,2.25,2570,8491,2,2570,1989
230000,3,2,1510,3413,2,1510,1985
359500,4,2.25,2390,11250,2,2390,1988
330000,3,1,980,7000,1,980,1953
80000,1,0.75,430,5050,1,430,1912
465000,3,1.75,1480,6360,1,1480,1954
325000,4,2.5,1850,7324,2,1850,1997
340500,3,2,2270,28025,1,1920,1947
342500,3,2.5,1810,5192,2,1810,1993
290900,2,2,1610,17600,2,1610,1930
868700,3,4.25,3840,6161,2,3840,2000
1.20E+06,4,2.75,4110,8400,2,3130,1928
1.15E+06,4,3.25,4190,10259,2,3150,2000
859900,4,2.75,3390,6298,2,3390,2011
520000,4,2.25,1890,3006,2,1890,2003
460000,3,2.5,1610,2527,2,1080,2005
438924,3,1.5,1050,4590,1,850,1949
315000,2,1,630,6550,1,630,1918
590000,4,2.75,2910,10650,1,1780,1975
378500,4,1.75,1700,8640,1,850,1955
328500,3,2.5,1950,8130,2,1950,1990
849950,3,3,2990,9773,2,2990,1973
525000,3,1.5,1350,6000,1,900,1950
1.39E+06,4,3.25,4860,181319,2.5,4860,1993
295000,4,2.5,2160,7725,1,1460,1978
1.07E+06,6,3.5,4860,11793,2,3860,1998
207950,2,2,890,5000,1,890,1917
699900,4,2.75,2810,7302,2,2810,2002
1.28E+06,5,2.5,3400,9500,2,3400,1977
452000,4,1.5,1580,7350,1,960,1963
370000,3,2,1680,5036,1,1680,1987
232000,3,1.75,1300,11230,1,1300,1968
669950,5,2.5,2820,14062,2,2380,1960
397500,3,2,1510,6710,1,1070,1972
490000,2,2.5,1230,1391,2,870,2004
725000,4,2,2110,4140,2,1710,1925
299000,3,2.75,3080,19635,1,1610,1958
625000,2,1.5,1490,5750,1.5,1190,1900
437500,3,2.5,2120,4500,2,2120,2000
650000,4,2.5,3180,5438,2,3180,2003
475000,2,1,1490,3825,1,860,1929
342000,3,2,1930,11947,1,1930,1966
1.20E+06,4,2.5,2770,7800,2,2770,1999
280000,3,1.5,1670,11610,1,1670,1963
240000,2,1.75,1330,7200,1,1330,1993
529000,3,1,1210,3328,1.5,1210,1924
442000,3,1,1190,5100,1,1030,1941
615000,2,1,1540,6872,1,820,1946
1.49E+06,4,3.75,4030,10800,2,4030,2006
585000,4,1.75,2430,7559,1,1580,1981
480000,4,2.5,2600,7787,2,2600,2005
1.10E+06,5,3.5,4410,57063,2,4410,1990
290000,4,1,1330,8184,1.5,1330,1949
615000,3,1.75,1900,5000,1,950,1951
300000,2,1,1100,7680,1,1100,1950
308000,3,1,1980,39150,1.5,1580,1932
750000,3,2.5,2400,7745,2,2400,2001
2.25E+06,4,2.25,4760,8036,2.5,3390,1916
890000,4,3.25,3180,194278,2,3180,2005
288000,3,1,1190,7560,1,1190,1958
190000,2,1,630,6000,1,630,1943
515000,5,3,2530,5105,1,1520,2005
235000,4,1.5,1690,11054,1,1690,1930
275000,2,1,940,5000,1,940,1951
727500,2,2,1240,9119,1,1240,1952
650000,4,2.5,3040,6587,2,3040,2003
1.60E+06,6,5,6050,230652,2,6050,2001
365000,4,1,1590,7085,1.5,1590,1944
662000,3,1.75,2500,36947,1,2500,1984
270500,3,2.5,1780,7848,1,1320,1978
200000,2,1.5,1360,1898,2,1360,1978
970000,4,3.25,4740,76230,2,4740,1987
160000,3,1.5,1010,9600,1,1010,1962
204000,3,1,1040,7405,1,1040,1971
358000,3,2.25,1610,6655,2,1610,1985
452000,4,1.75,1570,8268,1,1570,1979
595000,2,2,1510,4000,1,1010,1900
249000,3,2,1360,6082,1,1360,1994
346900,4,2.5,1970,5106,2,1970,1999
2.13E+06,3,2.5,5403,24069,2,5403,1976
280000,4,2.5,1560,4350,2,1560,2003
318888,4,1.75,2320,12000,1,2270,1973
530000,3,2.25,2120,40518,1,2120,1967
375000,3,2.25,2120,18500,2,2120,1983
910000,4,2.5,3350,29242,2,3350,1988
782000,4,2.5,2380,9614,2,2380,1991
259950,2,2,1070,649,2,720,2008
315000,4,2.75,2300,18360,1,1560,1979
215000,2,1,1320,8865,1,1320,1943
705000,3,1.75,2180,10221,1,1140,1946
1.45E+06,3,3,4380,6320,2,3580,1952
451000,3,1.75,1790,9813,2,1790,1949
261000,2,1,750,8125,1,750,1943
396000,3,1.5,1300,8280,1,1300,1956
725000,4,2.5,2990,29170,2,2990,1999
1.95E+06,7,3.5,4640,15235,2,2860,1965
238000,4,1,1400,7242,1.5,1400,1959
750000,6,1.75,2750,9563,2,2750,1973
331500,4,2.5,2050,10271,2,2050,1998
460000,4,3,2230,108900,1,1410,1978
404950,4,2.25,2340,217014,1,2340,1982
880000,3,2.5,2870,5163,2,2870,2014
863000,4,2.5,4120,22370,2,4120,1997
638700,3,1.75,2080,9162,1,1370,1960
435000,3,2.5,1840,5680,2,1840,2008
260000,3,1,1180,5350,1.5,1180,1959
671500,5,2.75,2160,4000,1.5,1530,1927
610000,3,1,1180,3400,1.5,1180,1907
405000,2,0.75,1160,15029,1,870,1937
338900,4,2.5,1830,5612,2,1830,2003
720000,4,4,3200,7708,2,3200,2004
442000,5,3,2560,5445,1.5,1760,1927
650000,5,2.75,2550,5040,1.5,2550,1902
263500,3,1.75,1330,9917,1,1040,1981
300000,2,1,1220,75794,1,1220,1963
266000,3,2.5,1805,3402,2,1805,2009
930000,4,4,6050,84942,2.5,4150,2009
530000,4,2.5,2320,5493,2,2320,2004
180000,3,1,1384,8960,1,1384,1965
619000,3,2.5,2720,6439,2,2720,2005
264000,3,1.5,1820,10608,1,1820,1962
730000,2,2.25,2130,4920,1.5,1530,1941
439000,4,2.25,2060,10070,2,2060,1975
268500,4,1.75,1420,7500,1,1080,1981
330000,3,1.75,1510,15744,1,1510,1985
640000,3,2.5,2160,4000,1.5,1960,1903
900000,3,2.5,3180,12600,2,3180,1978
370000,3,2.25,2110,13300,2,2110,1985
685000,3,2,2060,2900,1.5,1330,1931
505000,3,1.5,1830,217800,1,1010,1981
265000,3,1.75,1820,32666,1,1820,1966
290000,3,2.5,1610,2937,2,1610,2006
296000,4,2.5,1780,3600,2,1780,2006
360000,4,2.5,1840,9611,2,1840,1996
240500,3,1.75,1460,10584,1,990,1997
372500,2,2.5,1400,2958,2,1400,2007
595000,3,2.5,3370,14402,2,3370,2004
515000,4,3,3590,8249,2,3590,1997
1.22E+06,4,2.25,3200,15367,2,3200,1962
507000,2,1.75,1670,6460,1,1670,2004
399950,4,2,2420,31465,1,2420,1984
185000,3,1.75,1430,10816,2,1430,1994
460000,3,1.75,1440,7070,1,1440,1980
435500,3,2.25,1450,4789,2,1450,1985
469000,4,2.75,3550,13938,1,2100,1966
531000,2,3,1270,1175,2,1110,2000
443500,2,1,940,6804,1,940,1949
223000,3,2,1670,6824,1,1300,1990
590000,4,3.5,3100,15842,2,2400,1996
340000,2,2.5,1100,1760,3,1100,1997
650000,3,2,1870,3388,1,1230,1925
533600,3,2.5,1930,5080,2,1930,1990
695000,3,2.75,2540,4694,2,2540,2005
242000,3,1.75,1280,7524,1.5,1280,1988
425000,3,2.25,1820,8814,1,1280,1967
525000,3,2.25,1490,9414,2,1490,1981
485000,3,2.5,1880,5502,2,1880,1988
175000,3,1,1250,9775,1,1250,1971
210000,3,2,1440,7210,1,1440,1983
260000,3,2.5,1920,7415,2,1920,1989
577000,3,2.5,2060,5750,1,1330,1976
200000,3,1.5,1210,10588,1,1210,1958
605000,2,1.75,1760,5000,1,940,1927
325000,3,1,990,6750,1,990,1947
289500,3,1,960,6400,1,820,1944
559950,3,2.5,1660,1458,3,1660,2014
543500,3,2.25,1270,2790,1,990,1970
480000,4,2.25,3250,34293,2,3250,1983
218000,3,1,960,9633,1,960,1982
565000,2,1.75,1330,6000,1,960,1914
426700,3,1.75,2080,7700,1,1600,1968
650000,3,2.5,2690,11575,1,2130,1957
542000,2,1,890,3060,1,770,1910
415000,3,1.75,1070,8000,1,1070,1977
214000,3,1,1200,8316,1,1200,1953
245000,3,1.5,1360,8910,2,1360,1949
314500,3,2,2050,13303,1,2050,1993
378000,2,2,1300,3850,1,800,1963
305000,4,2.5,2250,9091,1,1340,1982
